"","name","year","Urban","Non Urban"
"742","lu_area_337","2021",94.27,5.73
"743","lu_area_338","2016",91.3,8.7
"744","lu_area_338","2021",86.96,13.04
"745","lu_area_339","2016",91.67,8.33
"746","lu_area_339","2021",50,50
"747","lu_area_340","2016",96.3,3.7
"748","lu_area_340","2021",98.77,1.23
"749","lu_area_341","2016",100,0
"750","lu_area_341","2021",95,5
"751","lu_area_342","2016",100,0
"752","lu_area_342","2021",100,0
"753","lu_area_343","2016",100,0
"754","lu_area_343","2021",100,0
"755","lu_area_344","2016",88.89,11.11
"756","lu_area_344","2021",61.11,38.89
"757","lu_area_345","2016",97.73,2.27
"758","lu_area_345","2021",100,0
"759","lu_area_346","2016",94.92,5.08
"760","lu_area_346","2021",96.61,3.39
"761","lu_area_347","2016",100,0
"762","lu_area_347","2021",100,0
"763","lu_area_348","2016",96.97,3.03
"764","lu_area_348","2021",100,0
"765","lu_area_349","2016",84.31,15.69
"766","lu_area_349","2021",64.71,35.29
"767","lu_area_350","2016",100,0
"768","lu_area_350","2021",100,0
"769","lu_area_351","2016",100,0
"770","lu_area_351","2021",100,0
"771","lu_area_352","2016",100,0
"772","lu_area_352","2021",100,0
"773","lu_area_353","2016",89.6,10.4
"774","lu_area_353","2021",91.58,8.42
"775","lu_area_354","2016",80,20
"776","lu_area_354","2021",70,30
"777","lu_area_355","2016",100,0
"778","lu_area_355","2021",100,0
"779","lu_area_356","2016",82.61,17.39
"780","lu_area_356","2021",86.96,13.04
"781","lu_area_357","2016",50,50
"782","lu_area_357","2021",50,50
"783","lu_area_358","2016",92.59,7.41
"784","lu_area_358","2021",88.89,11.11
"785","lu_area_359","2016",100,0
"786","lu_area_359","2021",100,0
"787","lu_area_360","2016",100,0
"788","lu_area_360","2021",100,0
"789","lu_area_361","2016",82.94,17.06
"790","lu_area_361","2021",96.43,3.57
"791","lu_area_362","2016",64.21,35.79
"792","lu_area_362","2021",86.32,13.68
"793","lu_area_363","2016",77.68,22.32
"794","lu_area_363","2021",93.75,6.25
"795","lu_area_364","2016",93.75,6.25
"796","lu_area_364","2021",97.92,2.08
"797","lu_area_365","2016",60.61,39.39
"798","lu_area_365","2021",60.61,39.39
"799","lu_area_366","2016",100,0
"800","lu_area_366","2021",100,0
"801","lu_area_367","2016",82.86,17.14
"802","lu_area_367","2021",91.43,8.57
"803","lu_area_368","2016",88.89,11.11
"804","lu_area_368","2021",94.44,5.56
"805","lu_area_369","2016",100,0
"806","lu_area_369","2021",100,0
"807","lu_area_371","2016",79.43,20.57
"808","lu_area_371","2021",85.11,14.89
"809","lu_area_372","2016",0,100
"810","lu_area_372","2021",100,0
"811","lu_area_373","2016",100,0
"812","lu_area_373","2021",100,0
"813","lu_area_374","2016",24,76
"814","lu_area_374","2021",68,32
"815","lu_area_375","2016",100,0
"816","lu_area_375","2021",100,0
"817","lu_area_376","2016",100,0
"818","lu_area_376","2021",100,0
"819","lu_area_377","2016",66.67,33.33
"820","lu_area_377","2021",75,25
"821","lu_area_378","2016",72.73,27.27
"822","lu_area_378","2021",63.64,36.36
"823","lu_area_379","2016",51.61,48.39
"824","lu_area_379","2021",74.19,25.81
"825","lu_area_380","2016",100,0
"826","lu_area_380","2021",100,0
"827","lu_area_381","2016",100,0
"828","lu_area_381","2021",100,0
"829","lu_area_382","2016",100,0
"830","lu_area_382","2021",96,4
"831","lu_area_383","2016",92.45,7.55
"832","lu_area_383","2021",100,0
"833","lu_area_384","2016",100,0
"834","lu_area_384","2021",100,0
"835","lu_area_385","2016",100,0
"836","lu_area_385","2021",100,0
"837","lu_area_386","2016",83.26,16.74
"838","lu_area_386","2021",87.03,12.97
"839","lu_area_387","2016",100,0
"840","lu_area_387","2021",100,0
"841","lu_area_388","2016",100,0
"842","lu_area_388","2021",100,0
"843","lu_area_389","2016",100,0
"844","lu_area_389","2021",100,0
"845","lu_area_390","2016",100,0
"846","lu_area_390","2021",100,0
"847","lu_area_391","2016",50,50
"848","lu_area_391","2021",100,0
"849","lu_area_392","2016",100,0
"850","lu_area_392","2021",100,0
"851","lu_area_393","2016",90,10
"852","lu_area_393","2021",100,0
"853","lu_area_394","2016",56.25,43.75
"854","lu_area_394","2021",50,50
"855","lu_area_395","2016",100,0
"856","lu_area_395","2021",100,0
"857","lu_area_396","2016",100,0
"858","lu_area_396","2021",90.91,9.09
"859","lu_area_397","2016",100,0
"860","lu_area_397","2021",100,0
"861","lu_area_398","2016",54.8,45.2
"862","lu_area_398","2021",68.15,31.85
"863","lu_area_399","2016",100,0
"864","lu_area_399","2021",100,0
"865","lu_area_400","2016",100,0
"866","lu_area_400","2021",0,100
"867","lu_area_401","2016",89.17,10.83
"868","lu_area_401","2021",95.83,4.17
"869","lu_area_402","2016",73.28,26.72
"870","lu_area_402","2021",92.24,7.76
"871","lu_area_403","2016",100,0
"872","lu_area_403","2021",100,0
"873","lu_area_404","2016",100,0
"874","lu_area_404","2021",100,0
"875","lu_area_405","2016",88.05,11.95
"876","lu_area_405","2021",91.87,8.13
"877","lu_area_406","2016",100,0
"878","lu_area_406","2021",100,0
"879","lu_area_407","2016",100,0
"880","lu_area_407","2021",100,0
"881","lu_area_408","2016",100,0
"882","lu_area_408","2021",100,0
"883","lu_area_409","2016",100,0
"884","lu_area_409","2021",100,0
"885","lu_area_410","2016",97.66,2.34
"886","lu_area_410","2021",96.49,3.51
"887","lu_area_411","2016",100,0
"888","lu_area_411","2021",100,0
"889","lu_area_412","2016",96.49,3.51
"890","lu_area_412","2021",98.68,1.32
"891","lu_area_413","2016",100,0
"892","lu_area_413","2021",100,0
"893","lu_area_414","2016",100,0
"894","lu_area_414","2021",100,0
"895","lu_area_415","2016",100,0
"896","lu_area_415","2021",100,0
"897","lu_area_416","2016",100,0
"898","lu_area_416","2021",100,0
"899","lu_area_417","2016",100,0
"900","lu_area_417","2021",100,0
"901","lu_area_418","2016",94.71,5.29
"902","lu_area_418","2021",94.71,5.29
"903","lu_area_419","2016",97.18,2.82
"904","lu_area_419","2021",95.77,4.23
"905","lu_area_420","2016",95,5
"906","lu_area_420","2021",90,10
"907","lu_area_421","2016",100,0
"908","lu_area_421","2021",100,0
"909","lu_area_422","2016",100,0
"910","lu_area_422","2021",100,0
"911","lu_area_423","2016",100,0
"912","lu_area_423","2021",100,0
"913","lu_area_424","2016",96.04,3.96
"914","lu_area_424","2021",95.05,4.95
"915","lu_area_425","2016",98.03,1.97
"916","lu_area_425","2021",98.03,1.97
"917","lu_area_426","2016",66.67,33.33
"918","lu_area_426","2021",100,0
"919","lu_area_427","2016",100,0
"920","lu_area_427","2021",50,50
"921","lu_area_428","2016",100,0
"922","lu_area_428","2021",100,0
"923","lu_area_430","2016",100,0
"924","lu_area_430","2021",100,0
"925","lu_area_431","2016",100,0
"926","lu_area_431","2021",100,0
"927","lu_area_432","2016",100,0
"928","lu_area_432","2021",100,0
"929","lu_area_433","2016",100,0
"930","lu_area_433","2021",100,0
"931","lu_area_434","2016",100,0
"932","lu_area_434","2021",100,0
"933","lu_area_436","2016",100,0
"934","lu_area_436","2021",100,0
"935","lu_area_437","2016",100,0
"936","lu_area_437","2021",100,0
"937","lu_area_438","2016",100,0
"938","lu_area_438","2021",88.89,11.11
"939","lu_area_439","2016",100,0
"940","lu_area_439","2021",100,0
"941","lu_area_440","2016",84.91,15.09
"942","lu_area_440","2021",94.34,5.66
"943","lu_area_441","2016",86.64,13.36
"944","lu_area_441","2021",91.16,8.84
"945","lu_area_442","2016",100,0
"946","lu_area_442","2021",100,0
"947","lu_area_443","2016",96.72,3.28
"948","lu_area_443","2021",93.44,6.56
"949","lu_area_444","2016",100,0
"950","lu_area_444","2021",100,0
"951","lu_area_445","2016",100,0
"952","lu_area_445","2021",100,0
"953","lu_area_446","2016",100,0
"954","lu_area_446","2021",100,0
"955","lu_area_447","2016",98.63,1.37
"956","lu_area_447","2021",98.63,1.37
"957","lu_area_448","2016",100,0
"958","lu_area_448","2021",100,0
"959","lu_area_449","2016",100,0
"960","lu_area_449","2021",100,0
"961","lu_area_450","2016",100,0
"962","lu_area_450","2021",100,0
"963","lu_area_451","2016",100,0
"964","lu_area_451","2021",100,0
"965","lu_area_452","2016",100,0
"966","lu_area_452","2021",100,0
"967","lu_area_453","2016",100,0
"968","lu_area_453","2021",100,0
"969","lu_area_454","2016",100,0
"970","lu_area_454","2021",100,0
"971","lu_area_455","2016",98.31,1.69
"972","lu_area_455","2021",100,0
"973","lu_area_456","2016",100,0
"974","lu_area_456","2021",100,0
"975","lu_area_457","2016",97.92,2.08
"976","lu_area_457","2021",96.88,3.12
"977","lu_area_458","2016",100,0
"978","lu_area_458","2021",100,0
"979","lu_area_459","2016",98.91,1.09
"980","lu_area_459","2021",98.69,1.31
"981","lu_area_460","2016",100,0
"982","lu_area_460","2021",100,0
"983","lu_area_461","2016",100,0
"984","lu_area_461","2021",100,0
"985","lu_area_462","2016",100,0
"986","lu_area_462","2021",100,0
"987","lu_area_463","2016",100,0
"988","lu_area_463","2021",100,0
"989","lu_area_464","2016",100,0
"990","lu_area_464","2021",100,0
"991","lu_area_465","2016",100,0
"992","lu_area_465","2021",100,0
"993","lu_area_466","2016",34.64,65.36
"994","lu_area_466","2021",55.56,44.44
"995","lu_area_467","2016",100,0
"996","lu_area_467","2021",100,0
"997","lu_area_468","2016",100,0
"998","lu_area_468","2021",100,0
"999","lu_area_469","2016",100,0
"1000","lu_area_469","2021",100,0
"1001","lu_area_470","2016",100,0
"1002","lu_area_470","2021",100,0
"1003","lu_area_471","2016",100,0
"1004","lu_area_471","2021",100,0
"1005","lu_area_472","2016",100,0
"1006","lu_area_472","2021",100,0
"1007","lu_area_473","2016",91.67,8.33
"1008","lu_area_473","2021",95.83,4.17
"1009","lu_area_474","2016",100,0
"1010","lu_area_474","2021",100,0
"1011","lu_area_475","2016",99.8,0.2
"1012","lu_area_475","2021",99.9,0.1
"1013","lu_area_476","2016",85.71,14.29
"1014","lu_area_476","2021",85.71,14.29
"1015","lu_area_477","2016",76.92,23.08
"1016","lu_area_477","2021",100,0
"1017","lu_area_478","2016",100,0
"1018","lu_area_478","2021",100,0
"1019","lu_area_479","2016",100,0
"1020","lu_area_479","2021",100,0
"1021","lu_area_480","2016",100,0
"1022","lu_area_480","2021",100,0
"1023","lu_area_481","2016",100,0
"1024","lu_area_481","2021",100,0
"1025","lu_area_482","2016",100,0
"1026","lu_area_482","2021",100,0
"1027","lu_area_483","2016",100,0
"1028","lu_area_483","2021",100,0
"1029","lu_area_484","2016",100,0
"1030","lu_area_484","2021",100,0
"1031","lu_area_485","2016",100,0
"1032","lu_area_485","2021",100,0
"1033","lu_area_486","2016",100,0
"1034","lu_area_486","2021",100,0
"1035","lu_area_487","2016",100,0
"1036","lu_area_487","2021",100,0
"1037","lu_area_488","2016",99.27,0.73
"1038","lu_area_488","2021",92.7,7.3
"1039","lu_area_489","2016",100,0
"1040","lu_area_489","2021",100,0
"1041","lu_area_490","2016",94.44,5.56
"1042","lu_area_490","2021",94.44,5.56
"1043","lu_area_491","2016",98.36,1.64
"1044","lu_area_491","2021",98.36,1.64
"1045","lu_area_492","2016",100,0
"1046","lu_area_492","2021",100,0
"1047","lu_area_493","2016",99.3,0.7
"1048","lu_area_493","2021",100,0
"1049","lu_area_494","2016",93.33,6.67
"1050","lu_area_494","2021",91.67,8.33
"1051","lu_area_495","2016",84.41,15.59
"1052","lu_area_495","2021",92.4,7.6
"1053","lu_area_496","2016",97.09,2.91
"1054","lu_area_496","2021",97.09,2.91
"1055","lu_area_497","2016",81.82,18.18
"1056","lu_area_497","2021",90.91,9.09
"1057","lu_area_498","2016",100,0
"1058","lu_area_498","2021",100,0
"1059","lu_area_499","2016",100,0
"1060","lu_area_499","2021",100,0
"1061","lu_area_500","2016",100,0
"1062","lu_area_500","2021",100,0
"1063","lu_area_501","2016",100,0
"1064","lu_area_501","2021",100,0
"1065","lu_area_502","2016",72.4,27.6
"1066","lu_area_502","2021",78.93,21.07
"1067","lu_area_503","2016",88.89,11.11
"1068","lu_area_503","2021",97.22,2.78
"1069","lu_area_504","2016",100,0
"1070","lu_area_504","2021",100,0
"1071","lu_area_505","2016",70.73,29.27
"1072","lu_area_505","2021",72.47,27.53
"1073","lu_area_506","2016",66.67,33.33
"1074","lu_area_506","2021",66.67,33.33
"1075","lu_area_507","2016",89.33,10.67
"1076","lu_area_507","2021",98.67,1.33
"1077","lu_area_508","2016",100,0
"1078","lu_area_508","2021",40,60
"1079","lu_area_509","2016",100,0
"1080","lu_area_509","2021",100,0
"1081","lu_area_510","2016",100,0
"1082","lu_area_510","2021",100,0
"1083","lu_area_511","2016",100,0
"1084","lu_area_511","2021",100,0
"1085","lu_area_512","2016",78.57,21.43
"1086","lu_area_512","2021",100,0
"1087","lu_area_513","2016",99.3,0.7
"1088","lu_area_513","2021",100,0
"1089","lu_area_514","2016",100,0
"1090","lu_area_514","2021",100,0
"1091","lu_area_515","2016",100,0
"1092","lu_area_515","2021",100,0
"1093","lu_area_516","2016",100,0
"1094","lu_area_516","2021",66.67,33.33
"1095","lu_area_517","2016",100,0
"1096","lu_area_517","2021",91.67,8.33
"1097","lu_area_518","2016",100,0
"1098","lu_area_518","2021",100,0
"1099","lu_area_519","2016",85.37,14.63
"1100","lu_area_519","2021",100,0
"1101","lu_area_520","2016",100,0
"1102","lu_area_520","2021",100,0
"1103","lu_area_521","2016",100,0
"1104","lu_area_521","2021",90.91,9.09
"1105","lu_area_522","2016",66.67,33.33
"1106","lu_area_522","2021",33.33,66.67
"1107","lu_area_523","2016",100,0
"1108","lu_area_523","2021",100,0
"1109","lu_area_524","2016",83.33,16.67
"1110","lu_area_524","2021",100,0
"1111","lu_area_525","2016",100,0
"1112","lu_area_525","2021",100,0
"1113","lu_area_526","2016",57.14,42.86
"1114","lu_area_526","2021",42.86,57.14
"1115","lu_area_527","2016",85.25,14.75
"1116","lu_area_527","2021",78.69,21.31
"1117","lu_area_528","2016",100,0
"1118","lu_area_528","2021",100,0
"1119","lu_area_529","2016",61.9,38.1
"1120","lu_area_529","2021",64.29,35.71
"1121","lu_area_530","2016",90.6,9.4
"1122","lu_area_530","2021",95.4,4.6
"1123","lu_area_531","2016",100,0
"1124","lu_area_531","2021",100,0
"1125","lu_area_532","2016",83.33,16.67
"1126","lu_area_532","2021",100,0
"1127","lu_area_533","2016",100,0
"1128","lu_area_533","2021",100,0
"1129","lu_area_534","2016",61.33,38.67
"1130","lu_area_534","2021",73.48,26.52
"1131","lu_area_535","2016",100,0
"1132","lu_area_535","2021",100,0
"1133","lu_area_536","2016",100,0
"1134","lu_area_536","2021",100,0
"1135","lu_area_537","2016",95.98,4.02
"1136","lu_area_537","2021",97.99,2.01
"1137","lu_area_538","2016",99.14,0.86
"1138","lu_area_538","2021",98.28,1.72
"1139","lu_area_539","2016",100,0
"1140","lu_area_539","2021",100,0
"1141","lu_area_540","2016",90,10
"1142","lu_area_540","2021",100,0
"1143","lu_area_541","2016",100,0
"1144","lu_area_541","2021",100,0
"1145","lu_area_542","2016",92.66,7.34
"1146","lu_area_542","2021",96.53,3.47
"1147","lu_area_543","2016",100,0
"1148","lu_area_543","2021",100,0
"1149","lu_area_544","2016",100,0
"1150","lu_area_544","2021",100,0
"1151","lu_area_545","2016",100,0
"1152","lu_area_545","2021",100,0
"1153","lu_area_546","2016",100,0
"1154","lu_area_546","2021",100,0
"1155","lu_area_547","2016",100,0
"1156","lu_area_547","2021",100,0
"1157","lu_area_548","2016",82.77,17.23
"1158","lu_area_548","2021",82.42,17.58
"1159","lu_area_549","2016",100,0
"1160","lu_area_549","2021",85.19,14.81
"1161","lu_area_550","2016",100,0
"1162","lu_area_550","2021",100,0
"1163","lu_area_551","2016",100,0
"1164","lu_area_551","2021",83.33,16.67
"1165","lu_area_552","2016",95.31,4.69
"1166","lu_area_552","2021",98.44,1.56
"1167","lu_area_553","2016",92.37,7.63
"1168","lu_area_553","2021",95.76,4.24
"1169","lu_area_554","2016",100,0
"1170","lu_area_554","2021",100,0
"1171","lu_area_555","2016",100,0
"1172","lu_area_555","2021",100,0
"1173","lu_area_556","2016",0,100
"1174","lu_area_556","2021",100,0
"1175","lu_area_557","2016",100,0
"1176","lu_area_557","2021",100,0
"1177","lu_area_558","2016",91.67,8.33
"1178","lu_area_558","2021",93.75,6.25
"1179","lu_area_559","2016",100,0
"1180","lu_area_559","2021",100,0
"1181","lu_area_560","2016",100,0
"1182","lu_area_560","2021",95.56,4.44
"1183","lu_area_561","2016",80,20
"1184","lu_area_561","2021",100,0
"1185","lu_area_562","2016",100,0
"1186","lu_area_562","2021",98.21,1.79
"1187","lu_area_563","2016",100,0
"1188","lu_area_563","2021",100,0
"1189","lu_area_564","2016",100,0
"1190","lu_area_564","2021",97.92,2.08
"1191","lu_area_565","2016",99.5,0.5
"1192","lu_area_565","2021",100,0
"1193","lu_area_566","2016",100,0
"1194","lu_area_566","2021",100,0
"1195","lu_area_567","2016",72.22,27.78
"1196","lu_area_567","2021",86.11,13.89
"1197","lu_area_568","2016",100,0
"1198","lu_area_568","2021",100,0
"1199","lu_area_569","2016",100,0
"1200","lu_area_569","2021",100,0
"1201","lu_area_570","2016",85.37,14.63
"1202","lu_area_570","2021",90.24,9.76
"1203","lu_area_571","2016",100,0
"1204","lu_area_571","2021",100,0
"1205","lu_area_572","2016",100,0
"1206","lu_area_572","2021",100,0
"1207","lu_area_573","2016",100,0
"1208","lu_area_573","2021",100,0
"1209","lu_area_574","2016",50,50
"1210","lu_area_574","2021",54.17,45.83
"1211","lu_area_575","2016",100,0
"1212","lu_area_575","2021",100,0
"1213","lu_area_576","2016",100,0
"1214","lu_area_576","2021",56.25,43.75
"1215","lu_area_577","2016",99.19,0.81
"1216","lu_area_577","2021",98.39,1.61
"1217","lu_area_578","2016",100,0
"1218","lu_area_578","2021",100,0
"1219","lu_area_579","2016",100,0
"1220","lu_area_579","2021",100,0
"1221","lu_area_580","2016",100,0
"1222","lu_area_580","2021",94.59,5.41
"1223","lu_area_581","2016",72.97,27.03
"1224","lu_area_581","2021",83.78,16.22
"1225","lu_area_583","2016",100,0
"1226","lu_area_583","2021",100,0
"1227","lu_area_584","2016",100,0
"1228","lu_area_584","2021",100,0
"1229","lu_area_585","2016",100,0
"1230","lu_area_585","2021",100,0
"1231","lu_area_586","2016",92.31,7.69
"1232","lu_area_586","2021",53.85,46.15
"1233","lu_area_587","2016",100,0
"1234","lu_area_587","2021",100,0
"1235","lu_area_588","2016",85.71,14.29
"1236","lu_area_588","2021",85.71,14.29
"1237","lu_area_590","2016",100,0
"1238","lu_area_590","2021",93.33,6.67
"1239","lu_area_591","2016",71.21,28.79
"1240","lu_area_591","2021",80.3,19.7
"1241","lu_area_592","2016",100,0
"1242","lu_area_592","2021",100,0
"1243","lu_area_593","2016",52.17,47.83
"1244","lu_area_593","2021",43.48,56.52
"1245","lu_area_594","2016",0,100
"1246","lu_area_594","2021",0,100
"1247","lu_area_595","2016",95,5
"1248","lu_area_595","2021",80,20
"1249","lu_area_596","2016",77.44,22.56
"1250","lu_area_596","2021",73.85,26.15
"1251","lu_area_597","2016",80.59,19.41
"1252","lu_area_597","2021",84.12,15.88
"1253","lu_area_598","2016",57.89,42.11
"1254","lu_area_598","2021",78.95,21.05
"1255","lu_area_599","2016",91.76,8.24
"1256","lu_area_599","2021",92.94,7.06
"1257","lu_area_600","2016",100,0
"1258","lu_area_600","2021",100,0
"1259","lu_area_601","2016",100,0
"1260","lu_area_601","2021",100,0
"1261","lu_area_602","2016",100,0
"1262","lu_area_602","2021",100,0
"1263","lu_area_603","2016",100,0
"1264","lu_area_603","2021",100,0
"1265","lu_area_604","2016",100,0
"1266","lu_area_604","2021",100,0
"1267","lu_area_605","2016",48.28,51.72
"1268","lu_area_605","2021",46.55,53.45
"1269","lu_area_606","2016",100,0
"1270","lu_area_606","2021",100,0
"1271","lu_area_607","2016",100,0
"1272","lu_area_607","2021",100,0
"1273","lu_area_608","2016",98.5,1.5
"1274","lu_area_608","2021",98.5,1.5
"1275","lu_area_609","2016",94.74,5.26
"1276","lu_area_609","2021",97.64,2.36
"1277","lu_area_610","2016",83.7,16.3
"1278","lu_area_610","2021",95.65,4.35
"1279","lu_area_611","2016",29.79,70.21
"1280","lu_area_611","2021",42.55,57.45
"1281","lu_area_612","2016",100,0
"1282","lu_area_612","2021",100,0
"1283","lu_area_614","2016",43.75,56.25
"1284","lu_area_614","2021",47.92,52.08
"1285","lu_area_615","2016",65.52,34.48
"1286","lu_area_615","2021",62.07,37.93
"1287","lu_area_616","2016",18.75,81.25
"1288","lu_area_616","2021",12.5,87.5
"1289","lu_area_617","2016",84.62,15.38
"1290","lu_area_617","2021",80.77,19.23
"1291","lu_area_618","2016",64.29,35.71
"1292","lu_area_618","2021",83.33,16.67
"1293","lu_area_619","2016",44.44,55.56
"1294","lu_area_619","2021",27.78,72.22
"1295","lu_area_620","2016",100,0
"1296","lu_area_620","2021",100,0
"1297","lu_area_621","2016",50,50
"1298","lu_area_621","2021",100,0
"1299","lu_area_622","2016",96.77,3.23
"1300","lu_area_622","2021",93.55,6.45
"1301","lu_area_623","2016",100,0
"1302","lu_area_623","2021",100,0
"1303","lu_area_624","2016",50,50
"1304","lu_area_624","2021",100,0
"1305","lu_area_625","2016",100,0
"1306","lu_area_625","2021",100,0
"1307","lu_area_626","2016",88.83,11.17
"1308","lu_area_626","2021",91.49,8.51
"1309","lu_area_627","2016",100,0
"1310","lu_area_627","2021",100,0
"1311","lu_area_629","2016",100,0
"1312","lu_area_629","2021",100,0
"1313","lu_area_630","2016",100,0
"1314","lu_area_630","2021",100,0
"1315","lu_area_631","2016",100,0
"1316","lu_area_631","2021",100,0
"1317","lu_area_632","2016",100,0
"1318","lu_area_632","2021",100,0
"1319","lu_area_633","2016",82.69,17.31
"1320","lu_area_633","2021",88.46,11.54
"1321","lu_area_634","2016",100,0
"1322","lu_area_634","2021",100,0
"1323","lu_area_635","2016",100,0
"1324","lu_area_635","2021",100,0
"1325","lu_area_636","2016",100,0
"1326","lu_area_636","2021",100,0
"1327","lu_area_637","2016",100,0
"1328","lu_area_637","2021",98.92,1.08
"1329","lu_area_638","2016",100,0
"1330","lu_area_638","2021",100,0
"1331","lu_area_639","2016",100,0
"1332","lu_area_639","2021",100,0
"1333","lu_area_640","2016",100,0
"1334","lu_area_640","2021",100,0
"1335","lu_area_641","2016",100,0
"1336","lu_area_641","2021",100,0
"1337","lu_area_642","2016",88.6,11.4
"1338","lu_area_642","2021",96.49,3.51
"1339","lu_area_643","2016",100,0
"1340","lu_area_643","2021",100,0
"1341","lu_area_644","2016",100,0
"1342","lu_area_644","2021",100,0
"1343","lu_area_645","2016",100,0
"1344","lu_area_645","2021",98.57,1.43
"1345","lu_area_646","2016",100,0
"1346","lu_area_646","2021",100,0
"1347","lu_area_647","2016",100,0
"1348","lu_area_647","2021",100,0
"1349","lu_area_648","2016",100,0
"1350","lu_area_648","2021",100,0
"1351","lu_area_649","2016",100,0
"1352","lu_area_649","2021",100,0
"1353","lu_area_650","2016",100,0
"1354","lu_area_650","2021",100,0
"1355","lu_area_651","2016",82.44,17.56
"1356","lu_area_651","2021",93.91,6.09
"1357","lu_area_652","2016",77.08,22.92
"1358","lu_area_652","2021",79.17,20.83
"1359","lu_area_653","2016",68.32,31.68
"1360","lu_area_653","2021",75.89,24.11
"1361","lu_area_654","2016",100,0
"1362","lu_area_654","2021",66.67,33.33
"1363","lu_area_655","2016",100,0
"1364","lu_area_655","2021",100,0
"1365","lu_area_656","2016",94.66,5.34
"1366","lu_area_656","2021",83.72,16.28
"1367","lu_area_657","2016",100,0
"1368","lu_area_657","2021",100,0
"1369","lu_area_658","2016",100,0
"1370","lu_area_658","2021",100,0
"1371","lu_area_659","2016",100,0
"1372","lu_area_659","2021",100,0
"1373","lu_area_660","2016",100,0
"1374","lu_area_660","2021",100,0
"1375","lu_area_661","2016",97.16,2.84
"1376","lu_area_661","2021",97.3,2.7
"1377","lu_area_662","2016",100,0
"1378","lu_area_662","2021",100,0
"1379","lu_area_663","2016",100,0
"1380","lu_area_663","2021",100,0
"1381","lu_area_664","2016",100,0
"1382","lu_area_664","2021",100,0
"1383","lu_area_665","2016",98.95,1.05
"1384","lu_area_665","2021",96.86,3.14
"1385","lu_area_666","2016",83.33,16.67
"1386","lu_area_666","2021",100,0
"1387","lu_area_667","2016",100,0
"1388","lu_area_667","2021",100,0
"1389","lu_area_668","2016",100,0
"1390","lu_area_668","2021",100,0
"1391","lu_area_669","2016",100,0
"1392","lu_area_669","2021",100,0
"1393","lu_area_670","2016",100,0
"1394","lu_area_670","2021",100,0
"1395","lu_area_671","2016",100,0
"1396","lu_area_671","2021",100,0
"1397","lu_area_672","2016",100,0
"1398","lu_area_672","2021",100,0
"1399","lu_area_673","2016",100,0
"1400","lu_area_673","2021",100,0
"1401","lu_area_674","2016",100,0
"1402","lu_area_674","2021",100,0
"1403","lu_area_675","2016",100,0
"1404","lu_area_675","2021",100,0
"1405","lu_area_676","2016",100,0
"1406","lu_area_676","2021",100,0
"1407","lu_area_678","2016",90,10
"1408","lu_area_678","2021",100,0
"1409","lu_area_679","2016",100,0
"1410","lu_area_679","2021",100,0
"1411","lu_area_681","2016",66.67,33.33
"1412","lu_area_681","2021",100,0
"1413","lu_area_682","2016",100,0
"1414","lu_area_682","2021",100,0
"1415","lu_area_683","2016",84.38,15.62
"1416","lu_area_683","2021",96.88,3.12
"1417","lu_area_684","2016",100,0
"1418","lu_area_684","2021",100,0
"1419","lu_area_685","2016",93.75,6.25
"1420","lu_area_685","2021",100,0
"1421","lu_area_686","2016",100,0
"1422","lu_area_686","2021",98.72,1.28
"1423","lu_area_687","2016",100,0
"1424","lu_area_687","2021",100,0
"1425","lu_area_688","2016",50,50
"1426","lu_area_688","2021",25,75
"1427","lu_area_689","2016",100,0
"1428","lu_area_689","2021",100,0
"1429","lu_area_690","2016",91.35,8.65
"1430","lu_area_690","2021",87.5,12.5
"1431","lu_area_691","2016",100,0
"1432","lu_area_691","2021",100,0
"1433","lu_area_693","2016",77.05,22.95
"1434","lu_area_693","2021",88.52,11.48
"1435","lu_area_694","2016",91.67,8.33
"1436","lu_area_694","2021",100,0
"1437","lu_area_695","2016",100,0
"1438","lu_area_695","2021",100,0
"1439","lu_area_696","2016",100,0
"1440","lu_area_696","2021",90,10
"1441","lu_area_697","2016",100,0
"1442","lu_area_697","2021",100,0
"1443","lu_area_698","2016",100,0
"1444","lu_area_698","2021",100,0
"1445","lu_area_699","2016",100,0
"1446","lu_area_699","2021",100,0
"1447","lu_area_700","2016",58.82,41.18
"1448","lu_area_700","2021",76.47,23.53
"1449","lu_area_701","2016",73.94,26.06
"1450","lu_area_701","2021",86.67,13.33
"1451","lu_area_702","2016",100,0
"1452","lu_area_702","2021",100,0
"1453","lu_area_703","2016",58.42,41.58
"1454","lu_area_703","2021",81.19,18.81
"1455","lu_area_704","2016",100,0
"1456","lu_area_704","2021",100,0
"1457","lu_area_705","2016",100,0
"1458","lu_area_705","2021",100,0
"1459","lu_area_706","2016",100,0
"1460","lu_area_706","2021",100,0
"1461","lu_area_707","2016",98.95,1.05
"1462","lu_area_707","2021",100,0
"1463","lu_area_708","2016",75,25
"1464","lu_area_708","2021",75,25
"1465","lu_area_709","2016",100,0
"1466","lu_area_709","2021",100,0
"1467","lu_area_710","2016",100,0
"1468","lu_area_710","2021",85.71,14.29
"1469","lu_area_712","2016",100,0
"1470","lu_area_712","2021",100,0
"1471","lu_area_713","2016",98.88,1.12
"1472","lu_area_713","2021",99.55,0.45
"1473","lu_area_714","2016",100,0
"1474","lu_area_714","2021",100,0
"1475","lu_area_715","2016",100,0
"1476","lu_area_715","2021",100,0
